University,Total HE Students,PG-Full-Time,PG-Part-time,PG-Total-UK,PG-Total-Overseas,PG-Total-All,UG-Full-Time,UG-Part-Time,UG-Total-UK,UG-Total-Overseas,UG-Total-All
Total UK,1720094,135348,234771,287695,82424,370119,972493,377482,1236053,113922,1349975
Total England,1437965,110892,196452,240768,66576,307344,789139,341482,1036780,93841,1130621
Anglia Polytechnic University,19235,416,1675,1942,149,2091,10153,6991,15881,1263,17144
The University of Aston in Birmingham,5488,392,970,949,413,1362,4095,31,3845,281,4126
Bath College of HE,2696,200,340,536,4,540,1937,219,2038,118,2156
The University of Bath,8044,805,2308,1937,1176,3113,4931,0,4306,625,4931
Birkbeck College,11213,365,1992,2205,152,2357,84,8772,8730,126,8856
The University of Birmingham,22567,3523,3876,5534,1865,7399,12604,2564,13994,1174,15168
Bishop Grosseteste College,906,40,40,78,2,80,801,25,824,2,826
Bolton Institute of Higher Education,6899,351,675,987,39,1026,3675,2198,5388,485,5873
Bournemouth University,9444,397,463,717,143,860,7273,1311,8210,374,8584
The University of Bradford,9123,770,1865,1635,1000,2635,6113,375,5719,769,6488
Bretton Hall College of HE,2359,252,201,445,8,453,1894,12,1891,15,1906
The University of Brighton,14192,515,1110,1495,130,1625,8991,3576,11425,1142,12567
The University of Bristol,17566,1945,2626,3635,936,4571,8785,4210,11937,1058,12995
Brunel University,13921,1212,3660,3742,1130,4872,8200,849,8431,618,9049
Buckinghamshire College of HE,7567,138,822,583,377,960,5161,1446,6095,512,6607
The University of Cambridge,18827,4048,2163,3505,2706,6211,10719,1897,11565,1051,12616
Canterbury Christ Church College,7830,467,1895,2306,56,2362,3682,1786,5339,129,5468
The University of Central England in Birmingham,18227,936,2008,2763,181,2944,9963,5320,14595,688,15283
The University of Central Lancashire,17406,403,1246,1602,47,1649,10565,5192,14527,1230,15757
Central School of Speech and Drama,688,109,94,182,21,203,485,0,444,41,485
Charing Cross & Westminster Medical School,1104,40,155,175,20,195,909,0,844,65,909
Cheltenham and Gloucester College of HE,7942,331,441,758,14,772,5262,1908,7017,153,7170
Chester College of HE,4595,162,1229,1344,47,1391,2604,600,3171,33,3204
Chichester Institute of Higher Education,3747,172,798,958,12,970,2409,368,2653,124,2777
City University,11209,1510,2830,3164,1176,4340,4427,2442,5891,978,6869
The College of Guidance Studies,269,45,81,125,1,126,0,143,143,0,143
Coventry University,15022,615,837,1028,424,1452,10729,2841,11764,1806,13570
Cranfield University,2944,1550,613,1494,669,2163,781,0,715,66,781
Dartington College of Arts,468,3,2,5,0,5,458,5,447,16,463
De Montfort University,21242,1293,1574,2440,427,2867,15797,2578,16775,1600,18375
University of Derby,11842,285,1024,1222,87,1309,8585,1948,10241,292,10533
University of Durham,11920,1214,2135,2478,871,3349,7260,1311,8140,431,8571
The University of East Anglia,9997,1233,1225,1918,540,2458,6062,1477,6773,766,7539
The University of East London,12278,486,1688,1911,263,2174,8505,1599,8682,1422,10104
Edge Hill College of Higher Education,5506,355,489,826,18,844,3415,1247,4569,93,4662
The University of Essex,7345,1157,605,795,967,1762,4345,1238,4343,1240,5583
The University of Exeter,11391,1268,1706,2205,769,2974,6625,1792,8032,385,8417
Falmouth College of Arts,1067,39,67,101,5,106,915,46,919,42,961
Goldsmiths College,6167,806,806,1351,261,1612,3427,1128,3985,570,4555
The University of Greenwich,16921,1068,2237,2933,372,3305,10533,3083,12654,962,13616
Harper Adams Agricultural College,1552,29,8,33,4,37,1486,29,1426,89,1515
University of Hertfordshire,16605,660,1630,1983,307,2290,10986,3329,12856,1459,14315
Homerton College,1199,310,241,537,14,551,648,0,645,3,648
The University of Huddersfield,12791,832,1770,2501,101,2602,8009,2180,9656,533,10189
The University of Hull,12084,1020,2641,2067,1594,3661,6283,2140,7748,675,8423
"Imperial College of Science,Technology & Medicine",8304,2517,678,1884,1311,3195,5108,1,3623,1486,5109
Institute of Advanced Nursing Education,1718,1,84,85,0,85,126,1507,1611,22,1633
"Institute of Education, University of London",3734,1471,2204,3171,504,3675,16,43,33,26,59
Institute of Psychiatry (associated with King's College London),561,147,358,476,29,505,20,36,56,0,56
The University of Keele,10234,860,1656,2261,255,2516,4938,2780,6768,950,7718
The University of Kent at Canterbury,11205,1060,1170,1588,642,2230,5984,2991,7571,1404,8975
Kent Institute of Art & Design,1694,29,23,36,16,52,1521,121,1334,308,1642
"King Alfred's College, Winchester",4442,68,1073,1138,3,1141,3082,219,3198,103,3301
King's College London,13420,1658,2007,2615,1050,3665,8427,1328,8275,1480,9755
Kingston University,13696,541,2353,2799,95,2894,9455,1347,9827,975,10802
La Sainte Union College of HE,2482,129,280,408,1,409,2016,57,2048,25,2073
The University of Lancaster,11872,1708,2391,3144,955,4099,6865,908,7268,505,7773
Leeds Metropolitan University,16986,718,1653,2220,151,2371,9585,5030,13836,779,14615
The University of Leeds,23125,2869,2625,3950,1544,5494,15219,2412,16077,1554,17631
The University of Leicester,15928,2223,5314,4552,2985,7537,6651,1740,7528,863,8391
The University of Lincolnshire and Humberside,12822,362,426,615,173,788,9708,2326,11301,733,12034
Liverpool Institute of Higher Education,4282,184,633,813,4,817,3269,196,3432,33,3465
Liverpool John Moores University,19315,702,1894,2409,187,2596,12083,4636,15613,1106,16719
The University of Liverpool,16740,1670,2336,3038,968,4006,10234,2500,11794,940,12734
London Business School,1002,601,401,431,571,1002,0,0,0,0,0
London Guildhall University,10967,285,829,992,122,1114,7032,2821,8832,1021,9853
The London Institute,8086,430,407,659,178,837,6032,1217,5922,1327,7249
London School of Economics and Political Science,5877,2084,830,1080,1834,2914,2929,34,1549,1414,2963
London School of Hygiene and Tropical Medicine,554,363,191,266,288,554,0,0,0,0,0
London University - Senate institutes,1564,533,533,760,306,1066,480,18,426,72,498
Loughborough College of Art and Design,764,0,0,0,0,0,744,20,759,5,764
Loughborough University,10596,1349,1578,2022,905,2927,7636,33,7117,552,7669
University of Luton,13063,193,802,953,42,995,9058,3010,11476,592,12068
The University of Manchester Institute of Science & Technology,6583,1393,634,1010,1017,2027,4554,2,3452,1104,4556
