University,Total HE Students,PG-full-time,PG-Part-time,PG-Total-UK,PG-Total-All,PG-Total-Overseas,UG-Full-time,UG-Part-time,UG-Total-UK,UG-Total-All,UG-Total-Overseas
Total UK,1756179,140909,222663,285843,363572,77729,997661,394946,1272272,1392607,120335
Total England,1458684,115729,183358,235583,299087,63504,807138,352459,1061248,1159597,98349
Anglia Polytechnic University,18288,349,1780,1954,2129,175,10159,6000,14632,16159,1527
Aston University,5626,367,1078,1037,1445,408,4157,24,3899,4181,282
Bath College of HE,3029,225,747,965,972,7,1997,60,1913,2057,144
The University of Bath,8266,922,2353,2098,3275,1177,4987,4,4330,4991,661
Birkbeck College,13176,410,2178,2391,2588,197,87,10501,10468,10588,120
The University of Birmingham,22967,3542,3684,5463,7226,1763,13039,2702,14401,15741,1340
Bishop Grosseteste College,852,19,29,48,48,0,795,9,802,804,2
Bolton Institute of Higher Education,6610,313,676,956,989,33,3680,1941,5252,5621,369
Bournemouth University,10522,387,606,787,993,206,7846,1683,9095,9529,434
The University of Bradford,10694,713,2119,1785,2832,1047,6780,1082,6980,7862,882
Bretton Hall College of HE,2570,275,278,540,553,13,1980,37,1994,2017,23
The University of Brighton,14219,548,1440,1839,1988,149,9252,2979,10798,12231,1433
The University of Bristol,17916,1992,3055,3836,5047,1211,9053,3816,11787,12869,1082
Brunel University,13863,1235,2932,3387,4167,780,8538,1158,9022,9696,674
Buckinghamshire College of HE,7646,127,1077,613,1204,591,5073,1369,5892,6442,550
The University of Cambridge,19603,4190,2192,3527,6382,2855,10755,2466,12133,13221,1088
Canterbury Christ Church College,8726,533,2086,2559,2619,60,4211,1896,5940,6107,167
The University of Central England in Birmingham,19220,1043,2121,2931,3164,233,9699,6357,15229,16056,827
The University of Central Lancashire,19790,401,1257,1584,1658,74,11232,6900,17040,18132,1092
Central School of Speech and Drama,683,130,81,175,211,36,471,1,432,472,40
Charing Cross & Westminster Medical School,1088,44,175,198,219,21,869,0,819,869,50
Cheltenham and Gloucester College of HE,8001,382,632,985,1014,29,5211,1776,6821,6987,166
Chester College of HE,4905,149,1307,1425,1456,31,2608,841,3413,3449,36
Chichester Institute of Higher Education,3712,191,855,1041,1046,5,2317,349,2529,2666,137
City University,11913,1555,3194,3466,4749,1283,4613,2551,6118,7164,1046
The College of Guidance Studies,236,41,71,112,112,0,0,124,124,124,0
Coventry University,15457,632,899,1039,1531,492,10618,3308,11664,13926,2262
Cranfield University,3564,1512,1304,1908,2816,908,748,0,667,748,81
Dartington College of Arts,454,3,6,8,9,1,440,5,424,445,21
De Montfort University,22531,1082,2408,3072,3490,418,16146,2895,17844,19041,1197
University of Derby,11704,279,1023,1214,1302,88,8605,1797,10017,10402,385
University of Durham,11376,1253,1642,2352,2895,543,7885,596,8034,8481,447
The University of East Anglia,10554,1319,1262,1951,2581,630,6116,1857,7149,7973,824
The University of East London,11968,576,1688,1969,2264,295,8231,1473,8227,9704,1477
Edge Hill College of Higher Education,6030,573,523,1086,1096,10,3531,1403,4846,4934,88
The University of Essex,7292,1244,464,748,1708,960,4202,1382,4152,5584,1432
The University of Exeter,11091,1357,1672,2194,3029,835,6889,1173,7625,8062,437
Falmouth College of Arts,1115,47,68,112,115,3,954,46,909,1000,91
Goldsmiths College,6387,848,1034,1562,1882,320,3443,1062,3936,4505,569
The University of Greenwich,16762,1144,2454,3214,3598,384,9507,3657,11952,13164,1212
Harper Adams Agricultural College,1568,24,5,23,29,6,1499,40,1417,1539,122
University of Hertfordshire,17750,669,2302,2677,2971,294,12034,2745,13138,14779,1641
Homerton College,2405,380,240,602,620,18,1118,667,1758,1785,27
The University of Huddersfield,14554,764,1585,2237,2349,112,8897,3308,11662,12205,543
The University of Hull,11702,1311,1323,1762,2634,872,6838,2230,8212,9068,856
"Imperial College of Science, Technology & Medicine",8302,2411,648,1848,3059,1211,5242,1,3734,5243,1509
Institute of Advanced Nursing Education,1793,3,98,99,101,2,105,1587,1663,1692,29
