University Name,Total HE Students,PG-Full-time,PG-Part-time,PG-Total-UK,PG-Total-All,PG-Total-Overseas,UG-Full-time,UG-Part-time,UG-Total-UK,UG-Total-All,UG-Total-Overseas
Total UK,1800064,143521,243480,305069,287042,81932,1022606,390457,1281731,1413063,131332
Total England,1496889,117577,206069,255810,235154,67836,826386,346857,1064485,1173243,108758
Anglia Polytechnic University,17931,376,1854,1973,752,257,10258,5443,13928,15701,1773
Aston University,5940,339,1072,989,678,422,4515,14,4216,4529,313
Bath Spa University College,3331,264,847,1101,528,10,2144,76,2058,2220,162
The University of Bath,8443,1049,2273,2159,2098,1163,5121,0,4503,5121,618
Birkbeck College,13050,419,2283,2479,838,223,52,10296,10310,10348,38
The University of Birmingham,23257,3307,4049,5387,6614,1969,13208,2693,14431,15901,1470
Bishop Grosseteste College,925,22,40,61,44,1,788,75,861,863,2
Bolton Institute of Higher Education,6553,319,685,980,638,24,3783,1766,5091,5549,458
Bournemouth University,10490,565,647,946,1130,266,7756,1522,8987,9278,291
The University of Bradford,11674,665,2352,1901,1330,1116,6959,1698,7687,8657,970
Bretton Hall College of HE,2479,224,250,449,448,25,1895,110,1987,2005,18
The University of Brighton,15139,569,1406,1772,1138,203,9974,3190,11593,13164,1571
The University of Bristol,18737,2040,3195,3849,4080,1386,9440,4062,12337,13502,1165
Brunel University,13533,1169,2558,3036,2338,691,8962,844,9145,9806,661
Buckinghamshire Chilterns University College,8011,184,932,698,368,418,5366,1529,6011,6895,884
The University of Cambridge,19706,4038,2178,3326,8076,2890,10684,2806,12346,13490,1144
Canterbury Christ Church University College,8993,555,1930,2443,1110,42,4275,2233,6323,6508,185
The University of Central England in Birmingham,18469,897,2148,2783,1794,262,9809,5615,14527,15424,897
The University of Central Lancashire,21020,412,1512,1790,824,134,11689,7407,17690,19096,1406
Central School of Speech and Drama,677,159,81,205,318,35,437,0,399,437,38
Cheltenham and Gloucester College of HE,7971,403,761,1125,806,39,5115,1692,6645,6807,162
Chester College of HE,4988,144,1564,1635,288,73,2662,618,3219,3280,61
Chichester Institute of Higher Education,4353,247,900,1139,494,8,2900,306,3036,3206,170
City University,13175,1712,3763,4055,3424,1420,4763,2937,6682,7700,1018
The College of Guidance Studies,256,44,89,132,88,1,0,123,123,123,0
Coventry University,15901,628,1027,1202,1256,453,11181,3065,12020,14246,2226
Cranfield University,3716,1570,1430,2058,3140,942,702,14,627,716,89
"Cumbria College of Art and Design, Carlisle",728,0,0,0,0,0,717,11,714,728,14
Dartington College of Arts,487,3,14,16,6,1,455,15,445,470,25
De Montfort University,22431,1408,2531,3453,2816,486,15527,2965,17313,18492,1179
University of Derby,12086,294,1030,1214,588,110,8866,1896,10307,10762,455
University of Durham,11918,1341,1770,2432,2682,679,8268,539,8306,8807,501
The University of East Anglia,11926,1406,1407,2060,2812,753,6377,2736,8196,9113,917
The University of East London,11544,538,1823,2008,1076,353,7627,1556,7692,9183,1491
Edge Hill College of Higher Education,6415,540,672,1203,1080,9,3818,1385,5100,5203,103
The University of Essex,7720,1237,618,790,2474,1065,4394,1471,4187,5865,1678
The University of Exeter,11407,1480,1633,2311,2960,802,7262,1032,7676,8294,618
Falmouth College of Arts,1200,56,71,118,112,9,1017,56,952,1073,121
Goldsmiths College,6935,975,1096,1694,1950,377,3807,1057,4165,4864,699
The University of Greenwich,16970,1134,2506,3163,2268,477,9977,3353,11866,13330,1464
Harper Adams University College,1597,26,16,37,52,5,1509,46,1398,1555,157
University of Hertfordshire,17230,591,1924,2205,1182,310,11723,2992,12864,14715,1851
Homerton College,2735,450,252,677,900,25,1095,938,1999,2033,34
The University of Huddersfield,16240,941,1867,2644,1882,164,9519,3913,12779,13432,653
The University of Hull,11133,965,613,1080,1930,498,6925,2630,8562,9555,993
"Imperial College of Science, Technology & Medicine",9934,2801,862,2245,5602,1418,6271,0,4676,6271,1595
Institute of Advanced Nursing Education,1710,4,195,164,8,35,69,1442,1483,1511,28
Institute of Education,4057,1755,2256,3342,3510,669,26,20,22,46,24
The University of Keele,12892,1002,2085,2559,2004,528,4802,5003,9140,9805,665
The University of Kent at Canterbury,11078,991,1460,1565,1982,886,6210,2417,6988,8627,1639
Kent Institute of Art & Design,1941,30,25,34,60,21,1747,139,1391,1886,495
"King Alfred's College, Winchester",5106,99,602,695,198,6,3167,1238,4279,4405,126
King's College London,14629,1932,2348,3082,3864,1198,8769,1580,8908,10349,1441
Kingston University,14409,584,2018,2431,1168,171,10451,1356,10475,11807,1332
The University of Lancaster,10854,1255,1790,2169,2510,876,6977,832,6820,7809,989
Leeds Metropolitan University,18587,686,1943,2412,1372,217,11101,4857,15041,15958,917
The University of Leeds,25676,3005,3139,4527,6010,1617,16879,2653,17828,19532,1704
The University of Leicester,15106,1905,5044,5770,3810,1179,7292,865,7261,8157,896
The University of Lincolnshire and Humberside,11984,695,763,952,1390,506,8710,1816,9365,10526,1161
Liverpool Hope,4439,282,494,770,564,6,3403,260,3628,3663,35
Liverpool John Moores University,20257,610,2030,2432,1220,208,12999,4618,15989,17617,1628
The University of Liverpool,18310,1817,2812,3458,3634,1171,10339,3342,12582,13681,1099
London Business School,1160,739,421,445,1478,715,0,0,0,0,0
University of London (Institutes and activities)(1),1598,487,559,663,974,383,537,15,464,552,88
London Guildhall University,12260,411,1477,1639,822,249,7492,2880,9131,10372,1241
The London Institute,9199,605,496,801,1210,300,6879,1219,6131,8098,1967
London School of Economics and Political Science,7186,2901,1020,1183,5802,2738,3171,94,1623,3265,1642
London School of Hygiene & Tropical Medicine,606,462,144,294,924,312,0,0,0,0,0
Loughborough College of Art and Design,742,0,0,0,0,0,727,15,726,742,16
Loughborough University,11129,1281,1768,2181,2562,868,7973,107,7545,8080,535
University of Luton,13091,338,651,758,676,231,8411,3691,10027,12102,2075
The University of Manchester Institute of Science & Technology,7049,1820,259,998,3640,1081,4970,0,3673,4970,1297
The Manchester Metropolitan University,28566,1740,3427,4878,3480,289,18359,5040,21917,23399,1482
The Victoria University of Manchester,24329,3204,2843,4123,6408,1924,16182,2100,16594,18282,1688
Middlesex University,20670,975,2125,2406,1950,694,15840,1730,14276,17570,3294
The University of Newcastle-upon-Tyne,16378,1968,1714,2650,3936,1032,10063,2633,11582,12696,1114
Newman College,1171,46,97,138,92,5,874,154,998,1028,30
The University of North London,14088,677,1353,1750,1354,280,9065,2993,10639,12058,1419
North Riding College Higher Education Corporation,1378,37,33,70,74,0,1290,18,1285,1308,23
University College Northampton,10241,226,798,942,452,82,7393,1824,8866,9217,351
Northern School of Contemporary Dance,157,0,0,0,0,0,157,0,144,157,13
The University of Northumbria at Newcastle,19672,824,2369,2865,1648,328,13082,3397,14716,16479,1763
Norwich School of Art and Design,655,8,15,22,16,1,632,0,613,632,19
The Nottingham Trent University,23169,854,2131,2756,1708,229,16863,3321,19068,20184,1116
The University of Nottingham,22313,2228,2949,3669,4456,1508,12095,5041,15654,17136,1482
The Open University,142023,567,27192,27759,1134,0,0,114264,114264,114264,0
Oxford Brookes University,12477,1028,1569,2046,2056,551,7508,2372,8212,9880,1668
The University of Oxford,20386,4459,1487,2973,8918,2973,11494,2946,12947,14440,1493
The University of Plymouth,20140,535,1807,2112,1070,230,14928,2870,16468,17798,1330
The University of Portsmouth,16786,672,1730,2011,1344,391,12097,2287,12158,14384,2226
Queen Mary and Westfield College,8945,1333,803,1512,2666,624,6671,138,5611,6809,1198
Ravensbourne College of Design and Communication,585,0,0,0,0,0,585,0,538,585,47
The University of Reading,13864,1985,3535,4107,3970,1413,7416,928,7363,8344,981
The College of Ripon and York St John,4013,139,256,390,278,5,2912,706,3464,3618,154
Roehampton Institute of HE,6998,494,641,1034,988,101,5014,849,5516,5863,347
Rose Bruford College,777,0,54,51,0,3,509,214,613,723,110
