University,Total HE Students,PG-Full-time,PG-Part-time,PG-Total-UK,PG-Total-Overseas,UG-Full-time,UG-Part-time,UG-Total-UK,UG-Total-Overseas,PG-Total-All,UG-Total-All
Total UK,1845757,146367,256973,314562,88778,1032897,409520,1311910,130507,403340,1442417
Total England,1533582,121140,216614,264246,73508,835526,360302,1087729,108099,337754,1195828
Anglia Polytechnic University,18577,412,2280,2312,380,10181,5704,13909,1976,2692,15885
Aston University,6384,441,1068,1006,503,4857,18,4501,374,1509,4875
Bath Spa University College,3365,325,764,1074,15,2201,75,2115,161,1089,2276
The University of Bath,8681,1063,2288,2099,1252,5330,0,4688,642,3351,5330
Birkbeck College,12607,439,2250,2478,211,14,9904,9876,42,2689,9918
The University of Birmingham,23608,3338,4420,5739,2019,13356,2494,14389,1461,7758,15850
Bishop Grosseteste College,956,43,169,193,19,744,0,743,1,212,744
Bolton Institute of Higher Education,6539,303,736,1012,27,3625,1875,5067,433,1039,5500
Bournemouth University,10788,665,756,1086,335,7684,1683,9024,343,1421,9367
The University of Bradford,11666,743,2394,2032,1105,6751,1778,7681,848,3137,8529
Bretton Hall College of HE,2788,219,323,519,23,1916,330,2227,19,542,2246
The University of Brighton,15606,897,1194,1815,276,10414,3101,11819,1696,2091,13515
The University of Bristol,18454,2112,3242,3902,1452,9600,3500,11760,1340,5354,13100
Brunel Universit y,13432,974,2922,2919,977,8662,874,8938,598,3896,9536
Buckinghamshire Chilterns University College,7943,177,682,665,194,5468,1616,6207,877,859,7084
The University of Cambridge,19877,4135,2194,3349,2980,10880,2668,12317,1231,6329,13548
Canterbury Christ Church University College,9306,625,2395,2943,77,4398,1888,6089,197,3020,6286
The University of Central England in Birmingham,19400,1174,2240,3092,322,10583,5403,14806,1180,3414,15986
The University of Central Lancashire,21589,396,1810,2063,143,11666,7717,17963,1420,2206,19383
Central School of Speech and Drama,707,153,87,207,33,466,1,432,35,240,467
Cheltenham and Gloucester College of HE,7899,355,545,865,35,5381,1618,6833,166,900,6999
