University,Total HE students,PG-Full-time,PG-Part-time,PG-Total-UK,PG-Total-All,PG-Total-Overseas,UG-Full-time,UG-Part-time,UG-Total-UK,UG-Total-Overseas,UG-Total-All
Total UK,1856330,151330,257290,313140,408620,95480,1027400,420310,1318530,129180,1447710
Total England,1540610,125490,216800,262430,342290,79860,830430,367900,1091130,107200,1198330
Anglia Polytechnic University,19250,460,2650,2540,3120,580,9680,6450,14170,1960,16130
Aston University,6580,490,1300,1230,1790,560,4780,10,4400,390,4790
Bath Spa University College,3750,440,800,1210,1240,30,2370,150,2370,150,2520
The University of Bath,9770,1130,2830,2570,3970,1400,5800,10,5100,710,5810
Birkbeck College,12670,540,2360,2600,2890,290,10,9770,9750,30,9780
The University of Birmingham,25550,2950,5780,6310,8720,2410,13960,2860,15280,1550,16830
Bishop Grosseteste College,1000,20,200,200,220,20,770,0,770,0,770
Bolton Institute of Higher Education,6800,440,800,1170,1230,60,3390,2170,5150,410,5560
Bournemouth University,11440,810,740,1040,1550,510,7930,1970,9450,440,9890
The University of Bradford,11390,710,2300,1950,3010,1060,6380,2000,7620,760,8380
Bretton Hall College of HE,2650,170,230,380,400,20,1850,400,2230,20,2250
The University of Brighton,15640,670,1390,1800,2050,250,10470,3120,11570,2020,13590
The University of Bristol,17920,1820,3540,3950,5370,1420,9360,3190,11350,1210,12560
Brunel University,13770,1210,2740,2840,3940,1100,8570,1250,9180,650,9830
Buckinghamshire Chilterns University College,8070,170,600,640,780,140,5790,1510,6410,890,7300
The University of Cambridge,20300,4220,2350,3470,6580,3110,11000,2730,12440,1290,13730
Canterbury Christ Church University College,10520,680,2940,3520,3620,100,4400,2500,6700,200,6900
The University of Central England in Birmingham,19350,1170,2110,2920,3280,360,10540,5540,14850,1220,16070
The University of Central Lancashire,23440,430,1830,2080,2260,180,13300,7880,19790,1400,21190
Central School of Speech and Drama,690,220,60,230,270,40,420,0,380,40,420
Cheltenham and Gloucester College of HE,8040,390,540,870,930,60,5570,1540,6910,190,7100
Chester College of HE,6420,180,1490,1630,1670,40,3430,1320,4680,80,4760
University College Chichester,3490,170,410,560,590,30,2600,300,2790,120,2910
City University,14970,1700,3680,3780,5370,1590,4950,4640,8430,1160,9590
The College of Guidance Studies,130,20,40,70,70,0,0,60,60,0,60
Coventry University,15320,670,1140,1320,1810,490,10850,2660,11650,1860,13510
Cranfield University,3410,1600,1090,1860,2690,830,720,0,650,70,720
"Cumbria College of Art and Design, Carlisle",680,0,0,0,0,0,660,20,640,30,670
Dartington College of Arts,500,10,30,40,40,0,440,10,410,50,460
De Montfort University,22260,1400,2460,3340,3860,520,15540,2860,17300,1100,18400
University of Derby,11430,220,970,1120,1190,70,8400,1840,9980,260,10240
University of Durham,13000,1430,1930,2520,3360,840,9010,630,8980,660,9640
The University of East Anglia,12370,1520,1460,2220,2980,760,6500,2880,8480,900,9380
The University of East London,12380,880,2070,2420,2940,520,7880,1550,7950,1490,9440
Edge Hill College of Higher Education,6740,400,610,1010,1010,0,4180,1550,5650,80,5730
The University of Essex,7430,1260,800,880,2070,1190,4380,990,3850,1520,5370
The University of Exeter,11770,1490,2040,2560,3530,970,7270,970,7570,670,8240
Falmouth College of Arts,1290,60,70,120,120,0,1120,50,1060,110,1170
Goldsmiths College,7010,1100,900,1490,2000,510,3840,1180,4240,780,5020
The University of Greenwich,16870,1100,2700,2880,3800,920,9610,3460,11520,1550,13070
Harper Adams University College,1650,60,40,90,110,20,1470,80,1350,200,1550
University of Hertfordshire,17310,810,1560,1980,2370,390,12640,2300,13210,1730,14940
Homerton College,3050,450,120,540,560,20,1220,1270,2450,50,2500
The University of Huddersfield,16260,860,1930,2550,2800,250,9570,3900,12810,650,13460
The University of Hull,14050,1150,1780,1830,2930,1100,7480,3640,10000,1110,11110
"Imperial College of Science, Technology & Medicine",10530,2850,910,2320,3760,1440,6780,0,5170,1610,6780
Institute of Advanced Nursing Education,1180,0,220,210,210,0,40,920,940,20,960
Institute of Education,4340,1630,2670,3570,4300,730,10,30,40,0,40
The University of Keele,9780,880,1850,2220,2730,510,4740,2310,6610,440,7050
The University of Kent at Canterbury,10710,950,790,1050,1740,690,6310,2670,7370,1610,8980
Kent Institute of Art & Design,1920,40,20,20,50,30,1740,130,1350,510,1860
"King Alfred's College, Winchester",4870,130,560,660,680,20,3020,1170,4040,140,4180
King's College London,18110,2330,3040,3880,5380,1500,10910,1820,11070,1660,12730
Kingston University,14500,660,2040,2450,2700,250,10640,1160,10360,1440,11800
The University of Lancaster,11190,1230,1770,2080,3000,920,7050,1140,7170,1020,8190
Leeds Metropolitan University,21950,710,2570,2860,3280,420,11780,6900,17430,1250,18680
The University of Leeds,26400,3120,2960,4360,6080,1720,17110,3200,18620,1700,20320
The University of Leicester,17150,1880,7370,6670,9250,2580,7300,610,7140,770,7910
The University of Lincolnshire and Humberside,12450,930,1170,1200,2100,900,7960,2390,8860,1490,10350
Liverpool Hope,5530,350,660,980,1000,20,3550,980,4420,110,4530
Liverpool John Moores University,19970,630,2180,2490,2820,330,13260,3900,15590,1570,17160
The University of Liverpool,20010,2310,2570,3380,4880,1500,10980,4150,14130,1000,15130
London Business School,1240,760,470,470,1230,760,0,0,0,0,0
University of London (Institutes and activities)(2),1180,400,330,500,740,240,190,260,400,50,450
London Guildhall University,12140,430,1340,1530,1780,250,7610,2760,9140,1230,10370
The London Institute,9780,670,560,840,1220,380,7540,1020,6120,2430,8550
London School of Economics and Political Science,7710,3290,920,1220,4210,2990,3330,170,1660,1840,3500
London School of Hygiene & Tropical Medicine,750,590,170,340,750,410,0,0,0,0,0
Loughborough University,12270,1300,1940,2470,3240,770,8840,190,8500,530,9030
University of Luton,13410,490,1070,890,1560,670,7500,4350,9720,2120,11840
University of Manchester,25580,3360,3610,4370,6970,2600,16400,2220,16920,1700,18620
The University of Manchester Institute of Science & Technology,6660,1370,300,750,1670,920,5000,0,3910,1080,4990
The Manchester Metropolitan University,30070,2060,3870,5510,5930,420,18620,5520,22470,1670,24140
