University,Total HE Students,PG-Total-All,PG-Full-time,PG-Part-time,PG-Total-UK,PG-Total-Overseas,UG-Total-All,UG-Full-time,UG-Part-time,UG-Total-UK,UG-Total-Overseas
Total UK,1990625,448695,172285,276410,337335,111365,1541930,1037880,504045,1422425,119505,
Total England,1656700,377810,144475,233330,281880,95930,1278895,839675,439220,1178455,100435,
Anglia Polytechnic University,23405,3295,545,2750,2700,595,20110,9435,10675,18270,1840,
Aston University,6990,2000,465,1535,1330,670,4990,4910,85,4685,310,
Bath Spa University College,4280,1325,515,810,1280,45,2955,2695,260,2790,165,
The University of Bath,10795,4650,1155,3495,2990,1660,6150,6110,35,5560,585,
Birkbeck College,15390,3150,570,2580,2830,320,12240,10,12230,12220,20,
The University of Birmingham,27105,9575,2995,6575,6580,2995,17530,14325,3210,15975,1560,
Bishop Grosseteste College,1030,245,30,215,245,0,785,785,0,785,0,
Bolton Institute of Higher Education,6565,1265,400,865,1195,70,5300,3200,2100,4970,325,
Bournemouth University,13085,1945,1010,935,1245,700,11140,8555,2585,10655,490,
The University of Bradford,11590,3165,770,2395,2045,1120,8425,6275,2150,7680,745,
Bretton Hall College of HE,2575,325,165,160,320,5,2250,2015,235,2205,45,
The University of Brighton,18035,2810,1005,1805,2325,480,15225,10760,4465,13255,1970,
The University of Bristol,20215,6720,2275,4445,4980,1735,13495,9645,3850,12550,945,
Brunel University,14670,4735,1340,3395,3305,1435,9930,8960,970,9325,610,
Buckinghamshire Chilterns University College,9510,800,165,635,655,145,8705,5750,2960,7930,775,
The University of Cambridge,23795,8015,4370,3650,4455,3560,15775,11070,4710,14410,1370,
The Institute of Cancer Research(#1),450,200,85,115,155,50,245,0,245,230,15,
Canterbury Christ Church University College,12650,4070,870,3205,3970,100,8580,5240,3340,8125,455,
The University of Central England in Birmingham,22270,3835,1265,2570,3330,505,18430,11070,7360,17400,1035,
The University of Central Lancashire,24000,2485,470,2015,2205,285,21510,12865,8645,19505,2005,
Central School of Speech and Drama,690,285,220,65,250,40,405,405,0,360,45,
Chester College of HE,6960,950,185,765,940,10,6010,4435,1575,5855,155,
University College Chichester,4530,1390,265,1120,1360,30,3145,2565,580,3020,120,
City University,15755,5870,1995,3880,4090,1780,9880,5095,4785,8815,1065,
Coventry University,16935,2375,905,1465,1630,745,14560,10990,3575,12810,1750,
Cranfield University,4205,3500,2155,1345,2380,1120,705,705,0,645,60,
Cumbria Institute of the Arts(#2),770,10,0,10,10,0,765,750,10,710,55,
Dartington College of Arts,455,65,10,55,50,15,390,385,5,360,30,
De Montfort University,23535,4420,1400,3015,3730,690,19115,15685,3435,17945,1170,
University of Derby,11980,1725,295,1430,1555,170,10255,8205,2050,9870,385,
University of Durham,13205,3470,1520,1945,2590,880,9735,9095,640,9200,535,
The University of East Anglia,12860,3180,1665,1515,2300,875,9680,6375,3305,9130,550,
The University of East London,13050,3500,1095,2400,2805,695,9555,7845,1710,8125,1425,
Edge Hill College of Higher Education,9180,1395,500,895,1385,10,7790,4615,3170,7670,120,
The University of Essex,8210,2300,1450,850,925,1375,5910,4570,1345,4635,1275,
The University of Exeter,11960,3685,1570,2110,2535,1145,8280,7075,1205,7800,480,
Falmouth College of Arts,1470,180,120,65,165,15,1290,1235,55,1200,95,
University of Gloucestershire(#2),9095,1275,480,795,1185,90,7820,5780,2040,7615,200,
Goldsmiths College,7330,2295,1275,1020,1730,560,5035,3720,1315,4450,585,
The University of Greenwich,18105,4170,1470,2705,3230,945,13930,9980,3950,12460,1475,
Harper Adams University College,1745,130,65,60,105,25,1615,1535,85,1470,150,
University of Hertfordshire,18975,2515,920,1595,2035,475,16460,13055,3405,14805,1655,
Homerton College,2880,520,455,65,500,20,2360,1310,1050,2300,55,
The University of Huddersfield,16925,2895,845,2050,2600,300,14030,9625,4405,13385,645,
The University of Hull,19915,3700,1670,2030,2280,1420,16215,8720,7495,15110,1105,
"Imperial College of Science, Technology & Medicine",11840,4775,3060,1715,2460,2315,7065,7065,0,5515,1555,
Institute of Advanced Nursing Education,985,295,0,295,195,100,690,0,690,650,40,
Institute of Education,4710,4670,1740,2930,3980,690,45,5,40,45,0,
The University of Keele,10200,3120,1005,2120,2410,710,7075,4610,2470,6810,270,
The University of Kent at Canterbury,11455,2195,945,1250,1390,805,9260,6350,2910,7860,1400,
Kent Institute of Art & Design,1975,70,45,20,30,40,1905,1745,160,1455,450,
"King Alfred's College, Winchester",5150,900,150,750,880,20,4250,3015,1235,4155,95,
King's College London,18770,5660,2520,3140,4120,1540,13115,11040,2075,11570,1545,
Kingston University,16165,3765,875,2885,2900,860,12405,11075,1330,11050,1355,
The University of Lancaster,12100,2990,1195,1795,2030,960,9110,6575,2535,8235,875,
Leeds Metropolitan University,25465,3735,935,2800,3205,530,21725,12790,8935,20020,1710,
The University of Leeds,29050,7380,4370,3015,4915,2465,21670,17515,4155,19900,1770,
The University of Leicester,16775,9245,2020,7225,7110,2135,7525,6935,595,6990,535,
The University of Lincoln(#2),14330,2630,1225,1405,1570,1060,11695,7380,4315,10350,1345,
Liverpool Hope,6415,1390,545,840,1340,50,5025,3935,1090,4820,205,
Liverpool John Moores University,20665,2925,750,2175,2535,395,17740,12885,4855,16505,1235,
The University of Liverpool,22450,5900,2275,3625,3880,2020,16550,11515,5035,15610,940,
London Business School,1470,1470,825,645,580,890,0,0,0,0,0,
University of London (Institutes and activities)(#3),765,575,375,200,335,240,190,190,0,165,25,
London Guildhall University,13940,2215,540,1675,1875,340,11725,8010,3715,10300,1425,
The London Institute,10275,1510,805,705,1020,490,8765,7970,795,6235,2530,
London School of Economics and Political Science,7150,3905,2955,950,1140,2765,3245,3110,135,1705,1540,
London School of Hygiene & Tropical Medicine,715,715,565,150,340,375,0,0,0,0,0,
Loughborough University,13210,4000,1895,2105,2950,1050,9210,9015,195,8825,385,
University of Luton,12315,1770,660,1105,950,815,10550,6715,3835,8305,2240,
University of Manchester,26470,7125,3735,3395,4640,2485,19345,16410,2935,17965,1380,
The University of Manchester Institute of Science & Technology,6990,2235,1625,610,1090,1145,4755,4755,0,3850,905,
The Manchester Metropolitan University,30325,6410,2210,4200,5915,495,23910,18435,5475,22655,1255,
Middlesex University,24505,4735,1830,2905,3330,1405,19775,15420,4355,16200,3570,
The University of Newcastle-upon-Tyne,18175,4950,2625,2325,3320,1625,13230,10145,3085,12345,885,
Newman College,1655,175,40,135,175,0,1480,1030,450,1390,90,
The University of North London,15640,2770,970,1800,2090,680,12865,8360,4505,10930,1940,
University College Northampton,10740,1205,230,975,1080,120,9535,6810,2725,9050,485,
Northern School of Contemporary Dance,135,0,0,0,0,0,135,135,0,90,40,
The University of Northumbria at Newcastle,22045,3755,1145,2610,3080,680,18290,13575,4715,17050,1240,
Norwich School of Art and Design,705,35,15,20,35,0,670,660,10,650,20,
The Nottingham Trent University,21635,4435,1630,2805,3965,470,17200,13500,3700,16540,665,
The University of Nottingham,26585,7390,3455,3935,4810,2580,19195,14315,4880,17610,1585,
The Open University,145990,19175,495,18680,19175,0,126815,0,126815,126815,0,
Oxford Brookes University,15570,3885,1685,2200,2930,955,11685,8850,2835,9970,1715,
The University of Oxford,22155,6305,4500,1805,3130,3175,15850,11415,4435,14625,1225,
The University of Plymouth,23810,3160,790,2370,2825,335,20650,14865,5785,19315,1335,
The University of Portsmouth,17265,3520,1110,2410,2725,795,13740,11200,2540,11815,1925,
Queen Mary and Westfield College,9255,2455,1620,835,1630,825,6800,6700,100,6050,750,
Ravensbourne College of Design and Communication,765,20,10,5,15,5,750,750,0,630,115,
The University of Reading,14320,5320,2195,3120,3660,1660,9005,7020,1985,8245,760,
"University of Surrey, Roehampton",7565,1350,660,690,1185,170,6210,5255,960,5710,500,
Rose Bruford College,950,55,15,40,45,10,895,575,320,740,160,
Royal Academy of Music,605,270,270,0,120,150,335,335,0,220,115,
Royal College of Art,825,825,770,50,590,230,0,0,0,0,0,
Royal College of Music,600,215,195,20,115,100,385,385,0,285,100,
Royal Holloway and Bedford New College,5995,1780,1200,580,1180,600,4215,4165,50,3465,745,
Royal Northern College of Music,600,155,155,0,105,50,445,445,0,380,65,
The Royal Veterinary College,905,225,110,115,150,75,680,665,15,565,115,
St George's Hospital Medical School,3405,685,55,630,605,80,2720,1305,1415,2615,105,
College of St Mark and St John,4260,1950,290,1660,1925,25,2310,2275,35,2015,300,
St Martin's College,9270,2975,625,2350,2680,295,6290,3925,2365,6205,90,
St Mary's College,2990,430,170,260,405,20,2560,2135,425,2320,235,
The University of Salford,21610,4780,1235,3545,3495,1285,16830,12125,4705,15285,1545,
The School of Oriental and African Studies,3650,1870,1140,730,830,1040,1780,1765,15,1050,730,
The School of Pharmacy,1145,600,105,500,550,50,545,535,5,435,105,
Sheffield Hallam University,24475,5185,1425,3760,4230,955,19295,15765,3530,18430,860,
The University of Sheffield,23575,6385,3635,2755,4485,1905,17185,14585,2600,16105,1080,
