University,Total HE Students,PG-Total-All,PG-Full-time,PG-Part-time,PG-Total-UK,PG-Total-Overseas,UG-Total-All,UG-Full-time,UG-Part-time,UG-Total-UK,UG-Total-Overseas
Total UK,2086075,469850,186345,283505,349425,120425,1616225,1069210,547020,1493895,122330
Total England,1726840,392335,155380,236955,289850,102480,1334505,862735,471770,1231595,102915
Anglia Polytechnic University,25735,3460,645,2815,2870,590,22275,9840,12435,20505,1770
Aston University,7200,2045,575,1475,1470,575,5155,5085,70,4800,350
Bath Spa University College,4485,1245,515,730,1210,40,3235,2945,295,3060,175
The University of Bath,12685,4435,1205,3230,2635,1800,8250,6615,1635,7570,680
Birkbeck College,17840,3480,650,2825,3095,385,14365,10,14355,14320,45
The University of Birmingham,29245,10825,4420,6410,7365,3460,18415,14955,3465,17065,1355
Bishop Grosseteste College,1130,320,50,270,320,0,810,805,0,805,0
Bolton Institute of Higher Education,6665,1285,485,805,1165,125,5380,3195,2185,4995,385
The Arts Institute at Bournemouth(#1),1100,0,0,0,0,0,1100,925,175,1020,80
Bournemouth University,14275,2150,1170,980,1350,800,12125,8960,3165,11545,580
The University of Bradford,11755,3395,890,2510,2080,1320,8360,6320,2040,7470,890
The University of Brighton,17830,3060,1070,1990,2505,555,14770,10710,4060,13065,1705
The University of Bristol,21195,7135,2375,4760,5315,1820,14065,10040,4025,13130,935
Brunel University,14410,4045,1475,2575,2985,1065,10360,9465,895,9685,675
Buckinghamshire Chilterns University College,9645,595,175,420,460,135,9050,5885,3165,8240,815
The University of Cambridge,24910,8540,4960,3580,4855,3685,16370,11850,4525,14930,1440
The Institute of Cancer Research,540,230,95,135,180,50,310,0,310,290,20
Canterbury Christ Church University College,13095,4200,835,3365,4070,130,8895,5295,3605,8615,280
The University of Central England in Birmingham,22010,3785,1350,2430,3205,575,18230,11450,6780,17235,995
The University of Central Lancashire,26250,2665,605,2060,2430,235,23585,14295,9290,21545,2040
Central School of Speech and Drama,735,320,255,65,270,50,415,415,0,370,45
Chester College of HE,7340,1025,210,820,1015,15,6315,4655,1660,6180,135
University College Chichester,4550,1550,230,1320,1540,5,3000,2480,520,2925,75
City University,18720,7070,2980,4090,4900,2170,11650,5710,5940,10050,1595
Conservatoire for Dance and Drama(#1),345,20,15,0,10,10,330,320,5,240,90
Coventry University,17535,2580,985,1590,1740,835,14955,11090,3865,13335,1625
Cranfield University,4725,4135,2650,1485,2705,1430,590,590,0,550,40
Cumbria Institute of the Arts,880,15,0,15,15,0,870,850,15,805,65
Dartington College of Arts,485,75,15,65,60,15,405,405,0,380,25
De Montfort University,23340,4425,1485,2940,3655,770,18915,15235,3680,17830,1085
University of Derby,12335,2010,405,1605,1690,320,10325,8205,2120,9945,380
University of Durham,14230,4120,1955,2165,2975,1140,10110,9565,545,9615,495
The University of East Anglia,13210,3145,1830,1315,2220,925,10065,6725,3340,9495,565
The University of East London,13275,3710,1075,2635,2770,935,9565,7495,2070,8260,1305
Edge Hill College of Higher Education,9750,1830,540,1285,1815,15,7920,4930,2990,7705,215
The University of Essex,9335,2605,1565,1040,1000,1605,6730,5145,1585,5485,1240
The University of Exeter,12520,3705,1810,1895,2750,955,8815,7270,1550,8325,490
Falmouth College of Arts,1485,170,110,60,160,15,1315,1270,45,1250,65
University of Gloucestershire,9150,1155,475,680,1080,75,7990,5845,2145,7730,260
Goldsmiths College,7240,2240,1260,980,1685,560,5000,3695,1305,4440,560
