University,Total HE Students,PG-Total-All,PG-Full-time,PG-Part-time,PG-Total-UK,PG-Total-Overseas,UG-Total-All,UG-Full-time,UG-part-time,UG-Total-UK,UG-Total-Overseas
Total UK,2175115,497500,206755,290745,357335,140165,1677615,1111310,566305,1542515,135100
Total England,1807660,416745,173575,243170,297760,118985,1390915,898595,492320,1276700,114215
Anglia Polytechnic University,25420,3675,710,2965,3045,630,21740,9985,11755,20165,1575
Aston University,7590,2165,595,1570,1425,740,5420,5260,160,5020,405
Bath Spa University College,4705,1215,630,585,1190,25,3490,3220,270,3320,170
The University of Bath,13755,4180,1330,2850,2440,1740,9575,7155,2425,8760,815
Birkbeck College,22130,4195,860,3335,3735,460,17935,15,17920,17910,25
"Birmingham College of Food, Tourism and Creative Studies(#2)",3145,190,90,95,45,145,2955,2505,450,2450,505
The University of Birmingham,31550,11300,5140,6160,7245,4050,20255,15975,4280,18545,1705
Bishop Grosseteste College,1215,320,75,245,320,0,895,895,0,895,0
Bolton Institute of Higher Education,7155,1340,500,840,1155,185,5820,3190,2630,5265,550
The Arts Institute at Bournemouth,1235,0,0,0,0,0,1235,1080,155,1105,130
Bournemouth University,14915,2415,1285,1130,1465,950,12500,9045,3455,11900,600
The University of Bradford,11950,3575,1020,2555,2005,1570,8380,6670,1705,7230,1150
The University of Brighton,18810,3640,1170,2475,2950,695,15165,10705,4460,13510,1660
The University of Bristol,22190,7715,2615,5100,5600,2120,14475,10575,3895,13425,1045
Brunel University,15135,4370,1625,2750,3065,1310,10760,9715,1050,10000,765
Buckinghamshire Chilterns University College,9765,605,140,465,500,105,9160,6020,3140,8285,880
The University of Cambridge,25435,8885,5210,3675,4980,3905,16550,11955,4595,15090,1460
The Institute of Cancer Research,145,145,80,65,100,45,0,0,0,0,0
Canterbury Christ Church University College,13725,3845,870,2980,3680,165,9880,5755,4125,9565,320
University of Central England in Birmingham,22530,3955,1540,2415,3230,720,18575,11915,6660,17575,1000
The University of Central Lancashire,28205,2705,680,2025,2435,270,25500,15490,10010,22565,2930
Central School of Speech and Drama,815,385,330,55,310,75,430,430,0,385,50
Chester College of HE,9690,1150,240,910,1040,105,8540,6130,2410,8425,115
University College Chichester,4975,1800,240,1560,1785,10,3175,2435,735,3060,110
City University,21425,8270,3045,5225,5625,2645,13155,6200,6955,11360,1795
Conservatoire for Dance and Drama,345,35,30,5,20,10,315,305,10,235,80
Coventry University,18360,2835,1235,1600,1760,1075,15525,10920,4605,13820,1705
Courtauld Institute of Art(#4),380,265,210,55,160,105,115,115,0,100,15
Cranfield University,4790,4280,2800,1480,2745,1530,515,515,0,475,40
Cumbria Institute of the Arts,980,20,0,20,20,0,960,945,20,855,105
Dartington College of Arts,460,70,10,60,60,10,390,390,0,370,25
De Montfort University,22105,3915,1205,2710,3210,705,18190,13910,4280,17325,860
University of Derby,13170,2305,490,1820,1900,405,10865,8360,2505,10450,415
University of Durham,15315,4550,2190,2360,3185,1360,10765,10380,385,10265,500
The University of East Anglia,14150,3440,2010,1430,2375,1065,10710,6905,3805,10095,615
The University of East London,14305,4140,1410,2730,2940,1200,10165,7540,2625,8925,1235
Edge Hill College of Higher Education,11145,2730,615,2115,2720,10,8415,5160,3255,8160,255
The University of Essex,10985,3690,1840,1850,1210,2480,7295,5480,1815,6035,1260
The University of Exeter,13150,3775,2010,1770,2745,1030,9370,7715,1655,8855,520
Falmouth College of Arts,1645,210,145,70,200,15,1435,1395,40,1350,85
University of Gloucestershire,9215,1535,525,1010,1410,120,7680,5815,1865,7410,275
Goldsmiths College,7215,2405,1375,1030,1845,560,4810,3560,1255,4265,550
The University of Greenwich,20195,5520,2285,3240,3800,1725,14675,10605,4070,12940,1735
Harper Adams University College,1565,125,70,55,95,30,1440,1340,100,1325,115
University of Hertfordshire,20900,3885,1655,2230,2670,1210,17015,13465,3545,14940,2075
Homerton College(#6),2035,0,0,0,0,0,2035,750,1285,1995,45
The University of Huddersfield,18395,3640,1030,2610,3190,450,14750,9600,5150,14125,630
The University of Hull,21940,4215,1775,2440,2625,1590,17725,9615,8110,16045,1680
"Imperial College of Science, Technology & Medicine",11745,4375,3165,1210,2645,1730,7365,7365,0,5660,1705
Institute of Education,5570,5455,1780,3675,4695,765,115,5,110,55,60
The University of Keele,12880,3180,1055,2130,2485,695,9700,4905,4795,9410,290
The University of Kent(#3),14025,2485,1075,1415,1470,1015,11535,8165,3370,9975,1560
Kent Institute of Art & Design,2060,130,95,35,45,80,1930,1775,155,1570,360
"King Alfred's College, Winchester",5480,965,105,865,945,20,4515,3300,1215,4425,90
King's College London,20475,6125,2910,3220,4375,1755,14345,11915,2430,12605,1740
Kingston University,18600,4045,1215,2835,3445,600,14555,12675,1880,12980,1575
The University of Lancaster,16730,3215,1510,1705,1945,1265,13515,7510,6005,12530,985
Leeds Metropolitan University,26830,4375,1195,3180,3610,760,22460,14280,8180,20760,1695
The University of Leeds,35570,9880,5920,3960,6635,3245,25685,21130,4555,23570,2120
The University of Leicester,15920,6705,1870,4835,4615,2090,9215,7575,1635,8320,895
The University of Lincoln,15320,2205,985,1220,1275,935,13110,7875,5235,11335,1775
Liverpool Hope University College(#3),7330,1685,755,930,1420,265,5645,4250,1395,5265,380
Liverpool John Moores University,20720,3060,1170,1890,2545,515,17660,13500,4160,16315,1345
The University of Liverpool,22150,5390,2225,3165,3675,1715,16765,12500,4265,15735,1025
London Business School,1725,1725,950,780,575,1150,0,0,0,0,0
University of London (Institutes and activities)(#4)(#5),440,350,175,175,190,165,90,90,0,80,10
