University,Total HE students,PG-Total-all,PG-Full-time,PG-Part-time,PG-Total-UK,PG-Total-Overseas,ug-total-all,UG-Full-time,UG-Part-time,UG-Total-UK,UG-Total-Overseas
Total UK,2336110,545370,234220,311150,373785,171580,1790740,1198820,591925,1632245,158495
Total England,1936420,454435,196735,257705,310765,143670,1481985,976815,505165,1349865,132120
Anglia Ruskin University(#12),28070,3930,735,3195,3155,775,24145,10835,13305,22595,1545
Aston University,8915,2410,1155,1255,1340,1075,6505,6235,270,5670,835
Bath Spa University,6595,2300,725,1575,2245,55,4295,3925,370,4115,180
The University of Bath,14795,5025,1490,3535,2850,2175,9765,8105,1660,8190,1580
University of Bedfordshire(#13),12050,1735,820,915,740,995,10315,6575,3740,7940,2375
Birkbeck College(#14),19020,3540,680,2860,3080,460,15475,0,15475,15095,380
"Birmingham College of Food, Tourism and Creative Studies",3635,440,220,215,85,350,3195,2370,825,2560,640
The University of Birmingham,30725,11960,5435,6525,7980,3975,18765,16485,2280,17285,1485
Bishop Grosseteste College,1520,515,240,275,515,5,1005,995,10,1005,0
The University of Bolton,8020,1695,760,935,1360,335,6325,3680,2645,5830,495
The Arts Institute at Bournemouth,1725,25,0,25,25,0,1700,1585,115,1530,170
Bournemouth University,17200,2575,1740,835,1170,1405,14625,10345,4280,13800,825
The University of Bradford,13070,4135,1225,2910,1945,2190,8935,7365,1575,7510,1425
The University of Brighton,20970,4450,1545,2905,3455,995,16515,12255,4260,14760,1755
The University of Bristol,23630,7785,2710,5075,5250,2535,15845,11525,4325,14650,1200
Brunel University,15150,5000,2075,2925,2595,2400,10150,9095,1055,9130,1020
Buckinghamshire Chilterns University College,9445,565,135,430,445,115,8880,5720,3160,7750,1130
The University of Buckingham,750,195,165,30,65,130,555,520,35,150,405
The University of Cambridge(#15),25465,9170,8265,905,5385,3785,16295,12415,3880,14650,1645
The Institute of Cancer Research(#14),235,235,125,110,150,85,0,0,0,0,0
Canterbury Christ Church University,14490,3210,1055,2150,3005,205,11280,6755,4525,10820,460
University of Central England in Birmingham,24085,4090,1155,2935,3455,635,19995,13375,6620,19045,950
The University of Central Lancashire,28850,4175,1090,3085,3235,940,24675,16115,8560,23155,1520
Central School of Speech and Drama(#14),950,370,295,75,290,80,580,580,0,545,30
University of Chester,14120,2845,515,2325,2650,190,11280,7095,4180,11125,150
The University of Chichester,5265,1615,300,1315,1495,125,3645,2880,770,3465,180
City University,23680,9260,3595,5665,5650,3615,14420,7390,7030,12505,1915
Conservatoire for Dance and Drama,1090,50,40,10,30,20,1040,1040,0,765,275
Coventry University,19385,2835,1350,1485,1650,1185,16550,10925,5625,14800,1750
Courtauld Institute of Art(#14),395,255,225,35,135,120,135,135,0,120,15
Cranfield University,4160,4075,2525,1550,2280,1790,90,90,0,90,0
"The University College for the Creative Arts at Canterbury, Epsom, Farnham, Maidstone, Rochester(#12)",5165,220,160,60,120,105,4945,4730,210,4285,660
Cumbria Institute of the Arts,1040,40,0,40,40,0,995,960,35,920,80
Dartington College of Arts,645,100,15,85,75,25,545,535,10,515,30
De Montfort University,23130,3670,955,2715,2995,675,19460,15650,3810,18630,830
University of Derby,14720,2515,460,2055,2215,300,12210,9100,3105,11390,815
University of Durham,17320,5295,2805,2490,3400,1890,12025,11565,460,11230,795
The University of East Anglia,14740,3620,2165,1455,2420,1200,11120,8335,2785,10375,745
The University of East London,18065,5195,2010,3190,3800,1395,12865,8775,4095,11310,1555
Edge Hill University(#13),15645,4785,630,4155,4725,60,10860,5940,4920,10680,180
The University of Essex,10290,2900,1755,1145,1130,1775,7385,6395,990,5880,1505
The University of Exeter,14630,4620,2490,2125,2850,1765,10010,8665,1345,9320,685
University College Falmouth,2155,205,135,70,180,25,1945,1890,55,1840,105
University of Gloucestershire,8705,1680,545,1135,1490,195,7025,5445,1580,6685,335
Goldsmiths College(#14),7400,2585,1685,900,1860,720,4815,3645,1170,4200,620
The University of Greenwich,23855,6700,2125,4575,4590,2105,17155,12195,4960,14810,2350
Harper Adams University College,3800,95,50,45,65,30,3705,1335,2370,3635,65
University of Hertfordshire,23570,4340,2040,2300,2775,1570,19230,15825,3405,17155,2070
The University of Huddersfield,19390,3555,1205,2350,2940,615,15835,10640,5195,15000,840
The University of Hull,21430,4125,1540,2585,2540,1585,17310,10120,7185,15985,1320
"Imperial College of Science, Technology & Medicine(#14)",12665,4570,3430,1140,2545,2025,8095,8095,0,5455,2640
Institute of Education(#14),7215,7000,1950,5050,5895,1105,210,45,170,85,125
The University of Keele,12720,3260,1235,2025,2375,885,9460,6415,3045,8770,690
The University of Kent,18220,4525,1165,3355,3385,1140,13695,10540,3155,11885,1805
King's College London(#14),21755,7005,3580,3420,4870,2130,14750,11815,2935,12930,1825
Kingston University,22135,4670,1605,3065,3515,1155,17460,15295,2165,15320,2140
The University of Lancaster,17415,3610,1725,1885,2315,1290,13810,8195,5615,12575,1235
Leeds College of Music(#12),615,10,5,5,10,0,605,605,0,575,30
Leeds Metropolitan University,28695,4330,1395,2935,3395,940,24365,15685,8680,22480,1880
The University of Leeds,33920,8900,5585,3315,5400,3500,25020,22585,2430,23455,1560
The University of Leicester,16160,6495,2065,4430,4365,2130,9670,7805,1865,8595,1075
The University of Lincoln,13195,1565,450,1115,1210,355,11630,8695,2935,10910,720
Liverpool Hope University,8155,1990,700,1290,1400,595,6165,4465,1700,5765,400
Liverpool John Moores University,24085,4180,1435,2745,3235,945,19905,15100,4805,18110,1795
The University of Liverpool,20765,3700,1675,2025,2355,1345,17070,13705,3365,15735,1335
"University of the Arts, London",13805,2250,1440,815,1330,920,11555,10905,650,7845,3705
London Business School(#14),1455,1455,940,520,500,960,0,0,0,0,0
University of London (Institutes and activities)(#14),430,350,185,165,195,150,85,85,0,80,5
London Metropolitan University,29625,7235,2670,4560,4330,2905,22390,14890,7500,18020,4370
London South Bank University,21785,5205,1575,3625,3795,1405,16580,9500,7080,14890,1690
London School of Economics and Political Science(#14),8810,4950,4000,950,1105,3845,3860,3855,5,2040,1820
London School of Hygiene and Tropical Medicine(#14),975,975,665,315,435,545,0,0,0,0,0
Loughborough University,16580,5715,3365,2350,3175,2535,10865,10635,230,10060,810
The Manchester Metropolitan University,32560,5995,2320,3675,5225,775,26565,22990,3575,24910,1655
The University of Manchester,40420,11075,6230,4840,7105,3965,29350,24590,4755,25990,3360
Middlesex University,24270,5545,3155,2390,3110,2435,18725,14810,3915,15935,2795
The University of Newcastle-upon-Tyne,19150,5410,3445,1970,2890,2525,13735,13625,110,12490,1245
Newman College of Higher Education,2600,365,255,115,350,20,2235,1450,785,2160,75
The University of Northampton,10630,1455,400,1055,1095,355,9180,6760,2415,8510,670
The University of Northumbria at Newcastle,27285,5635,2460,3175,3725,1905,21650,16180,5475,19320,2330
Norwich School of Art and Design,1095,95,10,85,95,5,1000,995,5,960,35
The Nottingham Trent University,26000,5895,2460,3435,4955,945,20100,16040,4060,19205,900
The University of Nottingham,32870,7945,4315,3630,4480,3470,24920,20040,4880,21880,3045
The Open University,168850,17465,370,17095,17420,45,151385,0,151385,151385,0
Oxford Brookes University,18725,5015,2055,2960,3710,1305,13710,10900,2810,11705,2005
The University of Oxford,23620,7970,6065,1910,3505,4465,15650,11640,4010,14050,1605
The University of Plymouth,29775,5415,1190,4220,4780,635,24360,17325,7035,23225,1135
The University of Portsmouth,19910,4095,1645,2450,2625,1470,15815,12880,2940,14130,1685
Queen Mary and Westfield College(#14),11625,3055,1825,1230,1560,1495,8570,8325,245,7295,1275
Ravensbourne College of Design and Communication,1115,35,30,5,15,25,1080,1080,0,940,135
The University of Reading,14090,4025,1960,2065,2680,1345,10065,8010,2055,9245,820
Roehampton University,8405,1725,890,835,1310,415,6680,5915,765,6200,485
Rose Bruford College,870,55,20,35,35,20,815,570,250,715,100
Royal Academy of Music(#14),730,420,380,35,220,200,310,310,0,210,105
Royal Agricultural College,825,255,85,175,170,85,570,545,25,545,25
Royal College of Art,850,850,810,45,510,340,0,0,0,0,0
Royal College of Music,640,265,245,20,125,140,375,375,5,240,140
The Royal College of Nursing,640,185,0,180,180,5,460,0,460,440,20
Royal Holloway and Bedford New College(#14),7620,2135,1190,945,1325,805,5485,5310,180,4160,1330
Royal Northern College of Music,650,210,210,0,105,110,440,440,0,375,65
The Royal Veterinary College(#14),1610,395,180,220,270,130,1215,1195,20,1115,95
St George's Hospital Medical School(#14),3785,565,50,515,490,75,3220,2010,1210,3030,190
College of St Mark and St John,3745,1570,280,1290,1500,65,2175,1970,205,2055,115
St Martin's College,12640,3270,845,2425,3140,130,9375,4580,4790,9265,110
St Mary's College,4060,840,420,415,710,130,3220,2725,495,2990,230
The University of Salford,20185,4035,1465,2570,2825,1210,16150,12915,3235,15075,1075
The School of Oriental and African Studies(#14),4525,2095,1265,830,940,1155,2430,2370,60,1545,880
The School of Pharmacy(#14),1355,625,150,475,495,130,730,705,25,620,110
Sheffield Hallam University,27855,7105,2130,4975,5415,1690,20745,16340,4405,19720,1025
The University of Sheffield,26785,7300,4725,2575,4400,2900,19480,17195,2290,17990,1490
Southampton Solent University,11270,755,325,430,515,240,10515,8565,1950,9480,1035
The University of Southampton,23490,7145,3540,3605,4625,2520,16345,13945,2400,15090,1255
Staffordshire University,15200,3370,1100,2270,2180,1190,11830,8490,3335,10640,1190
The University of Sunderland,20365,3035,1845,1190,1750,1285,17330,7750,9580,14500,2830
