University,Total HE students,PG-Total-All,PG-Full-time,PG-Part-time,PG-Total-UK,PG-Total-Overseas,UG-Total-All,UG-Full-time,UG-Part-time,UG-Total-UK,UG-Total-Overseas
Total UK,2362815,559390,243070,316320,375145,184245,1803425,1208645,594780,1636200,167225
Total England,1957190,462430,201830,260605,310255,152180,1494760,985810,508955,1356055,138705
Anglia Ruskin University,20300,3445,765,2680,2765,680,16855,9265,7590,15530,1325
Aston University,9555,2530,1315,1215,1315,1215,7030,6700,330,6055,970
Bath Spa University,7110,2605,615,1990,2555,50,4505,4105,400,4345,165
The University of Bath,14255,5225,1550,3675,3140,2085,9030,8470,560,7250,1780
University of Bedfordshire(#11),14550,2230,1020,1210,1165,1065,12320,8270,4050,9725,2595
Birkbeck College(#13),18480,3425,715,2710,2915,510,15055,25,15030,14580,475
Birmingham City University(#12),23860,4390,1565,2825,3470,920,19470,13105,6365,18535,940
"Birmingham College of Food, Tourism and Creative Studies",4060,575,230,350,100,480,3480,2515,965,2660,820
The University of Birmingham,30415,11935,5340,6595,8000,3935,18480,16285,2200,16915,1565
Bishop Grosseteste University College Lincoln(#12),1805,720,290,430,715,0,1090,1085,5,1085,0
The University of Bolton,8115,1740,790,950,1430,310,6375,3740,2635,5880,490
The Arts Institute at Bournemouth,1845,40,10,30,40,0,1805,1740,65,1625,180
Bournemouth University,17870,2445,1615,835,1240,1205,15425,10845,4580,14550,875
The University of Bradford,13600,4490,1480,3010,2035,2455,9110,7645,1465,7545,1570
The University of Brighton,21135,4050,1440,2610,3180,870,17085,12795,4290,15305,1780
The University of Bristol,22780,7450,2820,4630,4830,2625,15330,11810,3515,14045,1280
Brunel University,15510,5160,2230,2935,2565,2595,10350,9485,870,9250,1100
Buckinghamshire New University(#12),8915,620,140,480,485,130,8295,5290,3010,7300,995
The University of Buckingham,840,230,200,25,90,140,610,575,40,195,415
The University of Cambridge,28775,10595,5395,5195,6190,4400,18185,11765,6415,16245,1940
The Institute of Cancer Research(#13),290,290,125,165,215,75,0,0,0,0,0
Canterbury Christ Church University,14945,3585,1075,2510,3295,285,11360,6780,4580,10870,490
The University of Central Lancashire,29845,4430,1615,2815,3405,1025,25415,15495,9920,24030,1385
Central School of Speech and Drama(#13),910,330,270,55,265,65,580,580,0,545,35
University of Chester,15095,3445,620,2825,3290,155,11655,7290,4365,11485,175
The University of Chichester,4930,1215,340,875,1200,15,3715,3060,655,3545,170
The City University,23835,9180,3815,5365,5000,4180,14655,7590,7065,12450,2205
Conservatoire for Dance and Drama,1155,75,50,25,40,30,1085,1075,10,785,295
Courtauld Institute of Art(#13),455,300,240,60,160,135,155,155,0,130,20
Coventry University,19300,2875,1395,1480,1590,1280,16430,10935,5490,14725,1705
Cranfield University,4350,4350,2600,1755,2325,2025,0,0,0,0,0
The University College for the Creative Arts(1),5275,240,155,85,130,110,5035,4785,245,4410,620
Cumbria Institute of the Arts,1035,45,10,40,45,0,985,945,45,905,80
Dartington College of Arts,675,110,20,85,85,25,565,565,0,530,35
De Montfort University(#11),20415,3290,750,2540,2580,710,17125,13960,3165,16305,820
University of Derby,14710,2440,490,1945,2115,320,12275,9130,3145,11410,865
University of Durham,17410,5415,2935,2480,3410,2010,11995,11565,430,11095,905
The University of East Anglia,19585,4395,2880,1515,2845,1550,15190,10090,5100,13870,1325
The University of East London,19305,5080,2265,2810,3720,1355,14230,9365,4860,12600,1630
Edge Hill University,18735,6365,675,5695,6325,40,12370,6120,6250,12180,185
The University of Essex,11660,3305,1715,1590,1560,1740,8355,7170,1190,6690,1660
The University of Exeter,15720,4905,2350,2550,3055,1850,10815,9155,1665,9880,935
University College Falmouth,2215,240,165,75,215,25,1975,1920,55,1890,85
University of Gloucestershire,8395,1665,495,1170,1490,175,6730,5405,1325,6425,305
Goldsmiths College(#13),7450,2670,1685,985,1855,820,4775,4015,760,4105,670
The University of Greenwich,24915,6925,2490,4435,4465,2460,17990,12735,5255,15480,2515
Guildhall School of Music and Drama(#11),865,365,185,175,180,185,500,500,0,360,140
Harper Adams University College,2695,110,40,70,80,25,2590,1400,1190,2475,115
University of Hertfordshire,23210,4040,2050,1990,2515,1525,19170,16095,3080,17110,2065
Heythrop College(#13),850,515,35,480,450,70,335,330,5,305,30
The University of Huddersfield,19740,3570,1100,2470,2980,585,16175,11120,5055,15315,860
The University of Hull,22275,3565,1485,2075,2215,1350,18710,10525,8190,17105,1605
"Imperial College of Science, Technology and Medicine(#11)",13410,5060,3880,1180,2690,2370,8350,8350,0,5480,2870
Institute of Education(#13),6440,6245,1885,4360,5200,1050,195,65,125,80,110
The University of Keele,12345,3400,1320,2080,2570,825,8950,6330,2620,8340,610
The University of Kent,18385,3770,1130,2645,2590,1185,14610,11075,3535,12575,2035
King's College London(#13),21230,7220,3770,3455,4980,2240,14010,11545,2465,12200,1805
Kingston University,23005,4805,1790,3015,3405,1405,18200,16265,1935,15740,2460
The University of Lancaster,17410,3555,1760,1795,2175,1380,13855,8045,5810,12600,1255
Leeds College of Music,590,25,15,10,20,5,565,565,0,545,20
Leeds Metropolitan University,27495,4160,1450,2710,3225,935,23340,16095,7245,21685,1655
The University of Leeds,33315,8805,5435,3370,5125,3675,24510,22305,2205,22960,1550
Leeds Trinity and All Saints(#12),2690,410,250,155,395,15,2280,2150,130,2185,90
The University of Leicester,15495,6245,2045,4200,4475,1765,9250,7495,1755,8170,1080
The University of Lincoln,12665,1370,485,885,1065,300,11295,8510,2785,10555,735
Liverpool Hope University,7865,1675,630,1045,1240,435,6190,4505,1685,5780,405
Liverpool John Moores University(#11),24370,4100,1440,2660,3105,995,20270,14760,5510,18605,1665
The Liverpool Institute for Performing Arts(#11),805,45,20,25,35,10,765,615,150,610,150
The University of Liverpool,20665,3860,1960,1895,2385,1470,16805,13425,3380,15390,1415
"University of the Arts, London(#11)",14910,2450,1600,850,1390,1060,12460,11785,670,8590,3870
London Business School(#13),1495,1495,870,620,450,1045,0,0,0,0,0
University of London (Institutes and activities)(#13),470,470,285,190,290,180,0,0,0,0,0
London Metropolitan University,28815,6860,2600,4260,4100,2760,21955,14800,7160,17600,4355
London South Bank University,21770,5820,2060,3765,4270,1550,15950,8985,6965,14300,1645
London School of Economics and Political Science(#13),9030,5205,4235,970,1085,4120,3825,3785,40,1970,1855
London School of Hygiene and Tropical Medicine(#13),1140,1140,660,485,585,555,0,0,0,0,0
Loughborough University,17015,5960,3630,2330,3095,2870,11055,10750,305,10080,975
The Manchester Metropolitan University,33290,6020,2480,3540,5185,840,27265,23605,3665,25435,1830
The University of Manchester,39165,11850,6740,5110,7230,4620,27310,24135,3175,23585,3725
Middlesex University,23285,5535,1690,3845,3255,2275,17755,11990,5760,15145,2610
The University of Newcastle-upon-Tyne,19700,5640,3470,2175,3135,2505,14060,13940,120,12850,1210
Newman College of Higher Education,2595,375,265,115,360,15,2215,1560,655,2155,65
The University of Northampton,10645,1580,475,1105,1095,480,9065,6885,2180,8400,665
The University of Northumbria at Newcastle,29630,6805,3055,3755,4060,2750,22825,16685,6135,20220,2605
Norwich School of Art and Design,1155,125,15,110,115,5,1030,1030,0,1010,25
The University of Nottingham,33550,9195,4465,4730,4705,4495,24355,20455,3895,21135,3215
The Nottingham Trent University,23910,5265,2570,2700,4180,1090,18640,15520,3120,17585,1060
The Open University,176560,16010,380,15630,15960,50,160555,0,160555,160555,0
Oxford Brookes University,18770,5120,1880,3240,3800,1325,13645,10810,2835,11760,1890
The University of Oxford,24640,8500,6630,1865,3810,4690,16140,11530,4610,14280,1865
University College Plymouth St Mark and St John(#12),3465,1370,270,1100,1335,35,2090,1985,105,1975,115
The University of Plymouth,30540,6050,1380,4670,5270,785,24490,16985,7505,23290,1205
The University of Portsmouth,19600,4030,1575,2455,2660,1365,15570,12970,2605,14045,1530
Queen Mary and Westfield College(#13),12585,3230,2045,1185,1695,1535,9350,9255,95,7870,1480
