university,Total HE students,PG-Total-All,PG-Full-time,PG-Part-time,PG-Total-UK,PG-Total-Overseas,UG-Total-All,UG-Full-time,UG-Part-time,UG-Total-UK,UG-Total-Overseas
Total UK,2306105,501135,248380,252755,333655,167480,1804970,1232005,572965,1630660,174310
Total England,1922180,417165,206865,210300,277915,139250,1505015,1011955,493060,1360015,145000
Anglia Ruskin University,19005,2305,715,1595,1870,435,16700,9415,7285,15280,1420
Aston University,9570,2415,1610,800,1065,1350,7155,6825,330,6000,1155
Bath Spa University,7470,2585,655,1935,2545,40,4880,4360,525,4750,130
The University of Bath,12965,3890,1515,2375,2485,1405,9075,8745,330,7165,1910
University of Bedfordshire,14195,1995,1005,990,920,1075,12200,8085,4115,9935,2265
Birkbeck College(#11),17225,3075,725,2350,2605,470,14150,165,13980,13420,730
Birmingham City University,23245,3485,1320,2165,2615,870,19760,13695,6065,18755,1005
The University of Birmingham,28240,10210,5475,4735,6720,3490,18030,16055,1975,16390,1640
University College Birmingham(#10),3920,375,295,75,85,290,3545,2670,875,2915,630
Bishop Grosseteste University College Lincoln,1915,600,80,520,575,25,1315,1315,5,1315,0
The University of Bolton,7845,1465,640,825,1180,285,6380,3735,2645,5890,490
The Arts Institute at Bournemouth,2000,20,20,0,15,5,1980,1885,100,1795,185
Bournemouth University,17875,2280,1395,885,1185,1095,15595,11260,4335,14665,930
The University of Bradford,12375,3040,1430,1610,1645,1395,9335,8045,1290,7565,1770
The University of Brighton,21220,4105,1505,2600,3250,855,17115,12995,4120,15385,1730
The University of Bristol,17810,4840,3085,1755,3065,1775,12970,12135,835,11570,1400
Brunel University,14265,3860,2320,1540,2000,1860,10405,9740,665,9310,1095
Buckinghamshire New University,9265,605,170,435,440,165,8660,4970,3690,7635,1025
The University of Buckingham,985,260,235,25,100,160,725,675,45,265,460
The University of Cambridge,22745,7060,5695,1365,3735,3325,15685,11760,3925,13785,1900
The Institute of Cancer Research(#11),300,300,105,195,225,75,0,0,0,0,0
Canterbury Christ Church University,15545,3715,1250,2460,3400,315,11835,7330,4505,11055,780
The University of Central Lancashire(#9),31245,3925,1785,2140,3035,890,27325,18035,9285,22355,4970
Central School of Speech and Drama(#11),880,310,270,35,235,75,570,570,0,535,35
University of Chester,13515,2975,580,2400,2800,175,10540,7565,2975,10335,205
The University of Chichester,4805,1010,280,725,1000,10,3795,3075,720,3660,135
The City University,21410,6880,4460,2420,3875,3005,14530,7835,6695,12225,2305
Conservatoire for Dance and Drama,1140,75,40,35,50,25,1065,1055,10,800,265
Courtauld Institute of Art(#11),440,280,255,25,160,120,160,160,0,135,25
Coventry University,20375,3540,1880,1660,1790,1750,16835,11560,5275,14890,1945
Cranfield University,4580,4580,2765,1815,2360,2220,0,0,0,0,0
University for the Creative Arts(#10),5430,275,185,90,140,135,5155,4920,240,4585,570
University of Cumbria(#9)(#10),12045,2165,1090,1075,2055,110,9875,5360,4515,9635,240
Dartington College of Arts(#12),625,65,15,50,55,10,565,555,10,535,30
De Montfort University,20395,3270,830,2440,2575,695,17125,14080,3040,16300,825
University of Derby,16145,3135,590,2545,2700,435,13010,9330,3685,12035,975
University of Durham,16275,4635,3115,1520,2645,1990,11640,11275,365,10675,965
The University of East Anglia,15695,2850,2135,715,1760,1090,12845,9790,3055,11685,1160
The University of East London,19430,5010,2640,2365,3305,1705,14420,11005,3415,12750,1670
Edge Hill University,20140,7335,720,6610,7270,65,12805,6410,6395,12690,115
The University of Essex,11510,2695,1765,935,1370,1325,8810,7455,1360,6990,1820
The University of Exeter,14705,4055,2770,1285,2705,1350,10650,10010,640,9745,905
University College Falmouth(#12),2320,200,120,80,175,25,2120,2065,55,2025,95
University of Gloucestershire,8515,1820,530,1290,1680,140,6700,5580,1120,6330,370
Goldsmiths College(#11),7495,2215,1430,785,1445,770,5280,4520,765,4605,675
The University of Greenwich,24505,5400,2030,3370,2975,2425,19105,13025,6080,16650,2455
Guildhall School of Music and Drama,795,275,195,80,140,135,520,520,0,365,155
Harper Adams University College,4220,105,35,75,70,35,4110,1545,2565,3930,180
University of Hertfordshire,22835,4050,2025,2025,2510,1540,18785,15685,3100,16655,2130
Heythrop College(#11),745,360,40,325,325,35,380,370,10,350,30
The University of Huddersfield,20430,3650,1060,2590,3100,550,16780,11595,5185,15850,930
The University of Hull,21005,2690,1620,1070,1630,1060,18315,11015,7300,16790,1525
"Imperial College of Science, Technology and Medicine",13845,5310,4125,1185,2905,2405,8535,8535,0,5575,2960
Institute of Education(#11),7385,7075,1810,5265,5995,1080,310,90,215,235,75
The University of Keele,11415,2380,810,1570,1770,610,9035,6325,2710,8440,595
The University of Kent,17805,2645,1355,1295,1820,825,15160,11390,3770,13170,1990
King's College London(#11),21110,6995,4100,2900,4725,2270,14110,11635,2475,12230,1880
Kingston University,23985,5075,2110,2965,3505,1570,18910,16760,2150,16555,2355
The University of Lancaster,13720,3495,1985,1505,2075,1420,10230,7790,2440,9005,1225
Leeds College of Music,700,25,10,15,20,5,675,675,0,645,30
Leeds Metropolitan University,27215,3905,1420,2485,2900,1005,23310,17115,6195,22275,1035
The University of Leeds,32250,8405,5800,2605,4760,3645,23845,21895,1950,22260,1585
Leeds Trinity and All Saints,3005,400,270,130,370,30,2605,2205,405,2515,90
The University of Leicester,15355,5760,2380,3380,4065,1695,9595,8000,1595,8420,1175
The University of Lincoln,11640,1120,440,675,885,235,10525,8280,2245,9835,690
Liverpool Hope University,7060,1395,755,635,1150,245,5665,4390,1275,5375,290
Liverpool John Moores University,24445,4465,1795,2670,3390,1075,19980,15115,4865,18390,1590
The Liverpool Institute for Performing Arts,885,65,15,50,60,5,820,640,185,680,140
The University of Liverpool,19380,2970,1980,985,1760,1210,16410,13265,3145,15125,1285
"University of the Arts, London",15360,2610,1760,845,1445,1165,12750,12100,655,8755,3995
London Business School(#11),1555,1555,930,625,500,1055,0,0,0,0,0
University of London (Institutes and activities)(#11),290,290,175,120,180,110,0,0,0,0,0
London Metropolitan University,27975,7055,2480,4575,4360,2695,20920,12840,8080,17240,3680
London South Bank University,22340,5625,1440,4190,4270,1355,16710,10085,6625,14965,1745
London School of Economics and Political Science(#11),9105,5185,4690,495,955,4230,3920,3860,60,1980,1940
London School of Hygiene and Tropical Medicine(#11),1100,1100,625,475,545,555,0,0,0,0,0
Loughborough University,16645,5185,3505,1680,2425,2760,11460,11170,295,10340,1120
The Manchester Metropolitan University,32965,5330,2370,2960,4480,850,27635,24090,3545,25580,2055
The University of Manchester,37360,10515,6940,3575,6200,4315,26845,24930,1920,22785,4060
