university,PG-Full-time,PG-Part-time,PG-Total-UK,PG-Total-Overseas,PG-Total-All,UG-Full-time,UG-Part-time,UG-Total-UK,UG-Total-Overseas,UG-Total-All,Total HE students
Anglia Ruskin University,1800,1625,2260,1160,3420,13210,4440,15570,2080,17650,21070
Aston University,1335,780,1050,1065,2115,7280,595,6170,1705,7875,9995
Bath Spa University,810,1690,2395,105,2500,5120,245,5205,160,5365,7865
The University of Bath,2185,2295,2210,2270,4480,10215,370,8265,2315,10580,15060
University of Bedfordshire,3465,2665,2620,3510,6130,11575,2615,12370,1815,14185,20320
Birkbeck College(#9),1120,3855,4165,810,4975,855,10635,10785,700,11485,16460
Birmingham City University,1815,1755,2395,1175,3570,15275,3240,17225,1290,18515,22085
The University of Birmingham,7360,4555,7055,4860,11915,17530,1250,16740,2045,18785,30700
University College Birmingham,485,75,130,425,555,3315,1090,3395,1010,4405,4960
Bishop Grosseteste University(#8),305,375,685,0,685,1715,20,1735,0,1735,2420
The University of Bolton,455,715,985,185,1170,4205,1920,5730,395,6125,7295
The Arts University Bournemouth(#8),45,30,55,15,70,2750,40,2450,345,2795,2865
Bournemouth University,1625,1340,1560,1405,2965,12220,2785,13875,1130,15005,17970
The University of Bradford,1040,1735,1985,790,2775,9160,1260,8865,1555,10420,13195
The University of Brighton,1895,2265,3190,970,4160,14190,2965,15145,2010,17155,21310
The University of Bristol,4055,1375,3095,2335,5430,13565,475,11940,2100,14040,19470
Brunel University,3840,1435,2255,3020,5275,9675,365,8325,1710,10035,15315
Buckinghamshire New University,290,720,840,165,1005,5560,2640,7645,555,8200,9205
The University of Buckingham,675,55,460,270,730,1305,55,645,715,1360,2090
The University of Cambridge,6365,880,3235,4010,7245,11900,245,9855,2285,12140,19385
The Institute of Cancer Research(#9),85,215,275,25,300,0,0,0,0,0,300
Canterbury Christ Church University,1140,2705,3705,140,3845,10460,3740,13265,930,14195,18040
The University of Central Lancashire,1510,3205,3625,1090,4715,17590,6415,21890,2115,24005,28720
Central School of Speech and Drama(#9),280,60,215,125,340,660,0,555,105,660,1000
University of Chester,1140,2435,3175,400,3575,8215,2560,10500,275,10775,14350
The University of Chichester,360,490,825,25,850,4175,525,4570,130,4700,5550
The City University,4160,2930,3820,3270,7090,7960,1470,6490,2940,9430,16520
Conservatoire for Dance and Drama,170,35,100,105,205,1055,0,805,250,1055,1260
Courtauld Institute of Art(#9),265,15,155,125,280,155,0,135,20,155,435
Coventry University,3055,2195,2380,2870,5250,16545,5475,18110,3910,22020,27270
Cranfield University,2335,1590,1795,2125,3920,0,0,0,0,0,3920
University for the Creative Arts,185,105,150,145,295,4960,90,4545,505,5050,5340
University of Cumbria,800,870,1565,110,1675,6020,1905,7795,130,7925,9595
De Montfort University,1045,2520,2470,1095,3565,14625,2125,15380,1370,16750,20315
University of Derby,715,1980,2350,345,2695,10265,3330,12630,965,13595,16290
University of Durham,3155,1560,2350,2365,4715,11835,250,10300,1785,12085,16800
The University of East Anglia,3105,1755,3010,1850,4860,11335,1020,10090,2270,12360,17220
The University of East London,2345,2220,3445,1125,4570,12725,2300,13305,1720,15025,19595
Edge Hill University,835,4710,5460,85,5545,9815,3175,12850,140,12990,18535
The University of Essex,2325,915,1600,1645,3245,9755,1670,8285,3140,11425,14665
The University of Exeter,3475,1155,2690,1940,4630,14080,155,10970,3265,14235,18865
Falmouth University(#8),155,165,270,50,320,3670,5,3500,180,3680,4000
University of Gloucestershire,610,930,1295,240,1535,6175,690,6565,300,6865,8405
Goldsmiths College(#9),2135,1065,1985,1215,3200,4670,210,3965,915,4880,8075
The University of Greenwich,2500,2800,3030,2270,5300,14405,4215,16210,2410,18620,23925
Guildhall School of Music and Drama,210,70,170,110,280,545,0,410,135,545,830
Harper Adams University(#8),65,350,340,80,420,2195,2555,4585,165,4750,5170
University of Hertfordshire,2200,2925,3480,1645,5125,16550,3460,16920,3090,20010,25135
Heythrop College(#9),100,315,360,55,415,490,15,460,45,505,920
