HE provider,Country of HE provider,Level of study,Mode of study,Category marker,Category,Number
AA School of Architecture,England,All,All,Domicile,Total Non-UK,740
AA School of Architecture,England,All,All,Total,Total,830
AA School of Architecture,England,All,Full-time,Total,Total,830
The University of Aberdeen,Scotland,All,All,Domicile,Total Non-UK,5150
The University of Aberdeen,Scotland,All,All,Total,Total,15185
The University of Aberdeen,Scotland,All,Full-time,Total,Total,12715
The University of Aberdeen,Scotland,All,Part-time,Total,Total,2470
Abertay University,Scotland,All,All,Domicile,Total Non-UK,605
Abertay University,Scotland,All,All,Total,Total,4280
Abertay University,Scotland,All,Full-time,Total,Total,3885
Abertay University,Scotland,All,Part-time,Total,Total,395
Aberystwyth University,Wales,All,All,Domicile,Total Non-UK,1395
Aberystwyth University,Wales,All,All,Total,Total,7720
Aberystwyth University,Wales,All,Full-time,Total,Total,6060
Aberystwyth University,Wales,All,Part-time,Total,Total,1655
ACM Guildford Limited,England,All,All,Domicile,Total Non-UK,55
ACM Guildford Limited,England,All,All,Total,Total,1010
ACM Guildford Limited,England,All,Full-time,Total,Total,1010
Academy of Live and Recorded Arts,England,All,All,Domicile,Total Non-UK,20
Academy of Live and Recorded Arts,England,All,All,Total,Total,260
Academy of Live and Recorded Arts,England,All,Full-time,Total,Total,260
AECC University College,England,All,All,Domicile,Total Non-UK,270
AECC University College,England,All,All,Total,Total,715
AECC University College,England,All,Full-time,Total,Total,580
AECC University College,England,All,Part-time,Total,Total,135
Amity Global Education,England,All,All,Domicile,Total Non-UK,10
Amity Global Education,England,All,All,Total,Total,60
Amity Global Education,England,All,Full-time,Total,Total,55
Amity Global Education,England,All,Part-time,Total,Total,0
Anglia Ruskin University,England,All,All,Domicile,Total Non-UK,4675
Anglia Ruskin University,England,All,All,Total,Total,26715
Anglia Ruskin University,England,All,Full-time,Total,Total,21610
Anglia Ruskin University,England,All,Part-time,Total,Total,5100
Apex College London,England,All,All,Domicile,Total Non-UK,0
Apex College London,England,All,All,Total,Total,105
Apex College London,England,All,Full-time,Total,Total,105
Arden University,England,All,All,Domicile,Total Non-UK,25
Arden University,England,All,All,Total,Total,6245
Arden University,England,All,Full-time,Total,Total,3405
Arden University,England,All,Part-time,Total,Total,2840
Arts Educational Schools,England,All,All,Domicile,Total Non-UK,25
Arts Educational Schools,England,All,All,Total,Total,275
Arts Educational Schools,England,All,Full-time,Total,Total,275
Hult International Business School Ltd,England,All,All,Domicile,Total Non-UK,1515
Hult International Business School Ltd,England,All,All,Total,Total,1575
Hult International Business School Ltd,England,All,Full-time,Total,Total,1450
Hult International Business School Ltd,England,All,Part-time,Total,Total,125
Aston University,England,All,All,Domicile,Total Non-UK,2570
Aston University,England,All,All,Total,Total,15595
Aston University,England,All,Full-time,Total,Total,12295
Aston University,England,All,Part-time,Total,Total,3300
Bangor University,Wales,All,All,Domicile,Total Non-UK,2235
Bangor University,Wales,All,All,Total,Total,9945
Bangor University,Wales,All,Full-time,Total,Total,9000
Bangor University,Wales,All,Part-time,Total,Total,945
Bath Spa University,England,All,All,Domicile,Total Non-UK,545
Bath Spa University,England,All,All,Total,Total,8450
Bath Spa University,England,All,Full-time,Total,Total,7520
Bath Spa University,England,All,Part-time,Total,Total,935
The University of Bath,England,All,All,Domicile,Total Non-UK,5420
The University of Bath,England,All,All,Total,Total,18560
The University of Bath,England,All,Full-time,Total,Total,16605
The University of Bath,England,All,Part-time,Total,Total,1955
University of Bedfordshire,England,All,All,Domicile,Total Non-UK,5525
University of Bedfordshire,England,All,All,Total,Total,16775
University of Bedfordshire,England,All,Full-time,Total,Total,13780
University of Bedfordshire,England,All,Part-time,Total,Total,3000
Queen's University Belfast,Northern Ireland,All,All,Domicile,Total Non-UK,4205
Queen's University Belfast,Northern Ireland,All,All,Total,Total,24915
Queen's University Belfast,Northern Ireland,All,Full-time,Total,Total,19340
Queen's University Belfast,Northern Ireland,All,Part-time,Total,Total,5575
BIMM University,England,All,All,Domicile,Total Non-UK,925
BIMM University,England,All,All,Total,Total,5295
BIMM University,England,All,Full-time,Total,Total,5175
BIMM University,England,All,Part-time,Total,Total,115
Birkbeck College,England,All,All,Domicile,Total Non-UK,1425
Birkbeck College,England,All,All,Total,Total,11425
Birkbeck College,England,All,Full-time,Total,Total,4550
Birkbeck College,England,All,Part-time,Total,Total,6875
Birmingham City University,England,All,All,Domicile,Total Non-UK,4025
Birmingham City University,England,All,All,Total,Total,26930
Birmingham City University,England,All,Full-time,Total,Total,23285
Birmingham City University,England,All,Part-time,Total,Total,3645
The University of Birmingham,England,All,All,Domicile,Total Non-UK,10025
The University of Birmingham,England,All,All,Total,Total,35760
The University of Birmingham,England,All,Full-time,Total,Total,30660
The University of Birmingham,England,All,Part-time,Total,Total,5100
University College Birmingham,England,All,All,Domicile,Total Non-UK,1575
University College Birmingham,England,All,All,Total,Total,4930
University College Birmingham,England,All,Full-time,Total,Total,4325
University College Birmingham,England,All,Part-time,Total,Total,605
Bristol Baptist College,England,All,All,Domicile,Total Non-UK,5
Bristol Baptist College,England,All,All,Total,Total,55
Bristol Baptist College,England,All,Full-time,Total,Total,5
Bristol Baptist College,England,All,Part-time,Total,Total,50
Bishop Grosseteste University,England,All,All,Domicile,Total Non-UK,20
Bishop Grosseteste University,England,All,All,Total,Total,2280
Bishop Grosseteste University,England,All,Full-time,Total,Total,2075
Bishop Grosseteste University,England,All,Part-time,Total,Total,205
Bloomsbury Institute,England,All,All,Domicile,Total Non-UK,30
Bloomsbury Institute,England,All,All,Total,Total,1290
Bloomsbury Institute,England,All,Full-time,Total,Total,1290
The University of Bolton,England,All,All,Domicile,Total Non-UK,850
The University of Bolton,England,All,All,Total,Total,8175
The University of Bolton,England,All,Full-time,Total,Total,6595
The University of Bolton,England,All,Part-time,Total,Total,1580
The Arts University Bournemouth,England,All,All,Domicile,Total Non-UK,590
The Arts University Bournemouth,England,All,All,Total,Total,3445
The Arts University Bournemouth,England,All,Full-time,Total,Total,3370
The Arts University Bournemouth,England,All,Part-time,Total,Total,75
Bournemouth University,England,All,All,Domicile,Total Non-UK,2630
Bournemouth University,England,All,All,Total,Total,17390
Bournemouth University,England,All,Full-time,Total,Total,14965
Bournemouth University,England,All,Part-time,Total,Total,2425
BPP University,England,All,All,Domicile,Total Non-UK,4620
BPP University,England,All,All,Total,Total,12160
BPP University,England,All,Full-time,Total,Total,8585
BPP University,England,All,Part-time,Total,Total,3580
The University of Bradford,England,All,All,Domicile,Total Non-UK,1605
The University of Bradford,England,All,All,Total,Total,9770
